"","collection_timestamp","description","dna_extracted","elevation","empo_1","empo_2","empo_3","env_biome","env_feature","env_matter","env_package","geo_loc_name","host_body_habitat","host_body_product","host_body_site","host_common_name","host_scientific_name","host_taxid","latitude","location","longitude","physical_specimen_location","physical_specimen_remaining","qiita_study_id","sample_type","sample_type_user","scientific_name","taxon_id","title","sample_sums_unfiltered"
"12016.101","2007-05-17 0:00","Nereocystis","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Bullman","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae","Nereocystis luetkeana","117523","48.353425","Bullman","-124.534633","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera"," 71"
"12016.105","2007-05-17 0:00","Nereocystis","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Bullman","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae","Nereocystis luetkeana","117523","48.353425","Bullman","-124.534633","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera"," 50"
"12016.108","2007-05-17 0:00","Nereocystis","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Bullman","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae","Nereocystis luetkeana","117523","48.353425","Bullman","-124.534633","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera","353"
"12016.109","2007-05-17 0:00","Nereocystis","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Bullman","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae","Nereocystis luetkeana","117523","48.353425","Bullman","-124.534633","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera"," 34"
"12016.124","2007-06-17 0:00","Nereocystis","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Koitlah","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae","Nereocystis luetkeana","117523","48.3925","Koitlah","-124.638056","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera","640"
"12016.129B","2007-10-17 0:00","Nereocystis_base","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Tatoosh","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae base","Nereocystis luetkeana","117523","48.393612","Tatoosh","-124.735151","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera","597"
"12016.131B","2007-10-17 0:00","Nereocystis_base","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Tatoosh","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae base","Nereocystis luetkeana","117523","48.393612","Tatoosh","-124.735151","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera","703"
"12016.141","7/19/17 0:00","Nereocystis","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Port_Townsend","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae","Nereocystis luetkeana","117523","48.145278","Port_Townsend","-122.758889","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera","214"
"12016.178","7/31/17 0:00","Nereocystis","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Cape_Johnson","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae","Nereocystis luetkeana","117523","47.97476","Cape_Johnson","-124.68299","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera","688"
"12016.222","8/19/17 0:00","Nereocystis","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Tacoma_Narrows","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae","Nereocystis luetkeana","117523","47.23693","Tacoma_Narrows","-122.56516","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera","459"
"12016.224","8/19/17 0:00","Nereocystis","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Tacoma_Narrows","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae","Nereocystis luetkeana","117523","47.23693","Tacoma_Narrows","-122.56516","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera","282"
"12016.268","2008-11-17 0:00","Nereocystis","TRUE","0","Host-associated","Animal-associated","Animal corpus","marine biome","kelp forest","organic material","host-associated","USA:WA:Koitlah","UBERON:multicellular organism","UBERON:multicellular organism","UBERON:multicellular organism","brown algae","Nereocystis luetkeana","117523","48.3925","Koitlah","-124.638056","U Chicago","FALSE","12016","kelp tissue","kelp_blade_tissue","macroalgae metagenome","2015907","Successional Dynamics and Seascape-Level Patterns of Microbial Communities on the Canopy-Forming Kelps Nereocystis luetkeana and Macrocystis pyrifera","403"
