MAG name,Phylum,Class,Order,Family,Genus,B1_Squaxin_2019,B2_Tatoosh_2019,B3_Tatoosh_2019,B4_Tatoosh_2017,B5_Tatoosh_2017,B6_Tatoosh_2018,B7_Tatoosh_2018
*g4_MAG_00004,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,0.906917692,8.922409968,7.165437091,4.678060197,1.51052386,29.46924307,30.13644204
*g4_MAG_00001,Proteobacteria,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Hellea,9.849779327,5.455213723,4.436989326,0.094040453,0.046172288,3.939916123,3.204981288
*g1_MAG_00002,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,23.05566121,0.199425232,0.305344194,1.74850059,1.028034037,0.219192319,0.252693239
*g1_MAG_00001,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,1.517537715,8.479301545,10.64824375,1.839834032,1.146165962,0.18614295,0.018098
*g3_MAG_00004,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,0.264370363,0.777941821,0.912263644,9.350743293,11.46366773,0.021697598,0.006461298
*g1_MAG_00007,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,3.083391785,7.103978861,4.562561357,0.615559129,0.413636694,0.307130106,0.026822946
*g2_MAG_00009,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,3.847601576,0.359222267,0.59826808,4.040980182,2.151714041,0.313218121,0.368727057
*g3_MAG_00002,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,0.026091017,0.103491525,0.194461606,2.595640013,4.696662317,0.071796404,0.087027781
g3_MAG_00023,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,SW10,0.005434445,4.823654313,6.12805255,1.861311671,0.089969581,0.25644311,0.019074772
g3_MAG_00017,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,0.885448458,6.285266711,4.158342688,0.782934672,0.539032034,0.300263352,0.066307947
g4_MAG_00002,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Mariniblastus,0.001724278,1.732814798,1.207307037,0.033556519,0.074367615,3.436743293,2.592161113
g2_MAG_00032,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,0.370128736,2.36606656,3.927602602,0.929210399,0.041112049,0.337904044,0.087292944
g3_MAG_00006,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,0.005777891,0.604726964,0.61005651,2.58704689,2.701186752,0.003716176,0.002456213
g2_MAG_00011,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,GCA-1730015,0.015792792,1.80819531,1.445438574,0.176877958,0.039789269,0.847477455,2.054176713
g2_MAG_00017,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,0.164290093,2.321738426,2.120068524,1.080369472,0.407864212,0.047000265,0.009178451
g3_MAG_00010,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,0.002532409,1.844909619,1.824643082,2.264091281,0.105519843,0.022385657,0.00457029
g3_MAG_00007,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,0.008505337,0.089913494,0.087906402,1.588509142,3.81061155,0.04697487,0.05960855
g2_MAG_00006,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Olleya,0.128227791,0.808171074,0.867836034,2.425791886,0.757484004,0.033111734,0.003864016
g3_MAG_00025,Proteobacteria,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Litorimonas,0.056138557,0.122344244,0.113169357,1.360841094,1.775350459,0.580506161,0.840033987
g3_MAG_00001,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,SYFY01,0.026977693,0.195752084,0.135561092,1.603318541,2.736967515,0.028203212,0.006540411
g2_MAG_00031,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,0.007932469,1.936158815,1.90788442,0.320077414,0.012532894,0.156366058,0.065121836
g3_MAG_00005,Proteobacteria,Gammaproteobacteria,UBA10353,UBA7415,Arenicella,0.100636757,0.042796597,0.04083542,0.575211522,3.458127538,0.002753203,0.001074233
g2_MAG_00001,Bdellovibrionota,Oligoflexia,Oligoflexales,,,0.006583645,1.463590897,1.991595353,0.121686121,0.07896423,0.165316291,0.15037805
g3_MAG_00011,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,0.133502208,0.077933015,0.078804561,1.241028259,1.796357815,0.216543242,0.251461726
g3_MAG_00008,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,0.029373632,0.037240653,0.046986727,0.20081504,3.243148736,0.001303347,0.000943816
g2_MAG_00004,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,UBA1609,,0.001190648,0.901974325,0.7114272,0.7760449,0.805849195,0.030819713,0.004658836
g3_MAG_00014,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,0.000781231,0.271553577,0.229054852,1.720468324,0.555202932,0.004408116,0.001469067
g3_MAG_00018,Proteobacteria,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Hellea,0.015350463,0.038613394,0.035968528,0.887234121,1.521655107,0.034402643,0.03104236
g1_MAG_00009,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,1.194355523,0.41377541,0.566083031,0.121591884,0.109960213,0.01981797,0.013771278
g3_MAG_00022,Proteobacteria,Gammaproteobacteria,UBA10353,UBA7415,Arenicella,0.011738068,0.027205002,0.020543404,0.536198128,1.362882752,0.189514104,0.26579209
g2_MAG_00019,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,0.002903872,0.747782933,1.051567586,0.449923829,0.03139151,0.065367371,0.005268348
g1_MAG_00004,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,GCA-2708415,2.156099858,0.002671456,0.002297901,0.004480335,0.005319293,0.000822447,0.000901925
g3_MAG_00019,Proteobacteria,Gammaproteobacteria,UBA10353,UBA7415,,0.01137003,0.040424715,0.111429682,0.322617493,1.372203579,0.08764995,0.115781596
g2_MAG_00007,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,0.000991253,0.460919308,0.784020553,0.192446064,0.0162012,0.359990665,0.217297337
g3_MAG_00016,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Flavimaricola,0.388368755,0.032651867,0.032150162,0.285827003,1.245444967,0.007513738,0.009610435
g2_MAG_00034,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,0.103897204,0.631714135,1.076313812,0.11364041,0.064577681,0.003483091,0.00162538
g2_MAG_00022,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,0.001462109,0.306517276,0.258791175,0.990183268,0.314526428,0.004084842,0.000781937
g1_MAG_00006,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,1.02588977,0.166070841,0.636802709,0.007721911,0.005912278,0.014928119,0.003160717
g3_MAG_00021,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,0.005698965,0.094418722,0.118285197,0.972679113,0.47576285,0.008615832,0.009755983
g2_MAG_00015,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,0.001543795,0.636119652,0.386988495,0.043698156,0.333047504,0.137426932,0.007080461
g2_MAG_00003,Bdellovibrionota,Oligoflexia,Oligoflexales,,,0.000604953,0.558313372,0.769016632,0.021869231,0.045585976,0.072928159,0.034403148
g3_MAG_00024,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,0.002772012,0.008804756,0.00811849,0.44337272,0.912897595,0.006990886,0.00797238
g1_MAG_00003,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,GCA-2401725,1.128974071,0.038678609,0.039821003,0.034519296,0.094014222,0.024570928,0.024174409
g2_MAG_00028,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,0.658819345,0.154094008,0.296170439,0.127919043,0.045654217,0.002052284,0.000428444
g1_MAG_00012,Patescibacteria,Gracilibacteria,BD1-5,UBA6164,,0.579623078,0.013367505,0.018108784,0.490604504,0.071847866,0.007322754,0.00803758
g1_MAG_00010,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,0.66875212,0.113345863,0.20580085,0.133723564,0.053330156,0.001938607,0.000709164
g2_MAG_00002,Proteobacteria,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Robiginitomaculum,0.011497066,0.461108625,0.319740305,0.091698009,0.035752318,0.082653625,0.12660933
g2_MAG_00013,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,0.152440026,0.215763956,0.203106741,0.316026033,0.162772549,0.009007883,0.008279521
g2_MAG_00008,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,0.003608682,0.37636219,0.515651591,0.054957521,0.031678047,0.018243249,0.021278495
g1_MAG_00005,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,GCA-2402195,1.006473526,0.000206829,0.000176177,0.000879438,0.000603031,0.000264689,0.00016161
g1_MAG_00013,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans,0.57798249,0.019082627,0.018894699,0.092135888,0.27469787,0.011280159,0.013443255
g2_MAG_00016,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,0.000897447,0.231287754,0.188232501,0.473735231,0.064535796,0.00170315,0.000188136
g1_MAG_00008,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,GCA-2708415,0.874246827,0.003272278,0.002159491,0.00602407,0.014141886,0.002604068,0.004196169
g2_MAG_00037,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,,0.002481558,0.06875413,0.189483104,0.436585505,0.171868887,0.011036426,0.001873606
g1_MAG_00011,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans,0.63474545,0.002925276,0.002426077,0.099034877,0.13054926,0.001342998,0.000857016
g2_MAG_00005,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,UBA1609,,0.000303588,0.302112361,0.538608509,0.00475604,0.001760073,0.004843207,0.003870025
g2_MAG_00038,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,,0.000427296,0.336485841,0.411552327,0.031053675,0.003458089,0.001367056,0.000289521
g2_MAG_00036,Patescibacteria,Gracilibacteria,BD1-5,,,0.001576581,0.306212804,0.364626744,0.061497901,0.004713477,0.008559465,0.001668526
g2_MAG_00029,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,0.002859719,0.309698562,0.313850792,0.085453782,0.00373768,0.014072719,0.001069657
g2_MAG_00020,Bdellovibrionota,UBA2361,SZUA-149,SZUA-149,,0.000339646,0.248434305,0.296309626,0.043223793,0.001812718,0.080125894,0.015972419
g2_MAG_00027,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,0.001069725,0.201274249,0.216172966,0.226657767,0.023177389,0.005961603,0.001197228
g2_MAG_00030,Proteobacteria,Alphaproteobacteria,Rickettsiales,SXRF01,,0.004648852,0.273802352,0.220606097,0.030839892,0.012404041,0.014000212,0.020304751
g2_MAG_00025,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,UBA7328,0.002224267,0.230511695,0.110547974,0.042996345,0.035604421,0.055808858,0.075319828
g2_MAG_00033,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,GCA-2713145,0.00644747,0.157962194,0.274731863,0.040601224,0.022648283,0.012720943,0.008308534
g2_MAG_00024,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,,0.001151778,0.176622966,0.248343522,0.028889563,0.019177652,0.00839431,0.007022007
g2_MAG_00014,Bdellovibrionota,Oligoflexia,Oligoflexales,,,0.000420588,0.113861276,0.245818211,0.046376795,0.029681663,0.007409958,0.00364781
